UP,6513,true,200,Thu May 14 2020 20:10:45 GMT-0300 (Brasilia Standard Time)
UP,7176,true,200,Thu May 14 2020 20:12:45 GMT-0300 (Brasilia Standard Time)
UP,6582,true,200,Thu May 14 2020 20:14:45 GMT-0300 (Brasilia Standard Time)
UP,6943,true,200,Thu May 14 2020 20:16:45 GMT-0300 (Brasilia Standard Time)
UP,5382,true,200,Thu May 14 2020 20:18:44 GMT-0300 (Brasilia Standard Time)
UP,1934,true,200,Thu May 14 2020 20:20:40 GMT-0300 (Brasilia Standard Time)
UP,4860,true,200,Thu May 14 2020 20:22:43 GMT-0300 (Brasilia Standard Time)
UP,10236,true,200,Thu May 14 2020 20:24:48 GMT-0300 (Brasilia Standard Time)
UP,6329,true,200,Thu May 14 2020 20:26:44 GMT-0300 (Brasilia Standard Time)
UP,18035,true,200,Thu May 14 2020 20:28:56 GMT-0300 (Brasilia Standard Time)
UP,4035,true,200,Thu May 14 2020 20:30:42 GMT-0300 (Brasilia Standard Time)
UP,6354,true,200,Thu May 14 2020 20:32:45 GMT-0300 (Brasilia Standard Time)
UP,6154,true,200,Thu May 14 2020 20:34:44 GMT-0300 (Brasilia Standard Time)
UP,2171,true,200,Thu May 14 2020 20:36:40 GMT-0300 (Brasilia Standard Time)
UP,6122,true,200,Thu May 14 2020 20:38:44 GMT-0300 (Brasilia Standard Time)
UP,4633,true,200,Thu May 14 2020 20:40:43 GMT-0300 (Brasilia Standard Time)
UP,10217,true,200,Thu May 14 2020 20:42:48 GMT-0300 (Brasilia Standard Time)
UP,5660,true,200,Thu May 14 2020 20:44:44 GMT-0300 (Brasilia Standard Time)
UP,3825,true,200,Thu May 14 2020 20:46:42 GMT-0300 (Brasilia Standard Time)
UP,6117,true,200,Thu May 14 2020 20:48:44 GMT-0300 (Brasilia Standard Time)
